data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2024-02-09,30.9,24.2,0.0,3
2024-02-10,32.7,23.9,2.1,55
2024-02-11,33.3,24.3,0.6,51
2024-02-12,35.9,26.3,0.0,3
2024-02-13,37.7,25.9,0.0,3
2024-02-14,30.6,25.0,2.2,53
2024-02-15,26.4,23.9,9.7,61
2024-02-16,27.4,23.4,1.4,51
2024-02-17,27.9,24.1,1.1,53
2024-02-18,29.3,24.0,0.4,51
2024-02-19,29.0,23.8,3.2,61
2024-02-20,28.5,23.6,6.9,61
2024-02-21,28.8,23.9,19.6,63
2024-02-22,31.7,23.9,0.1,51
2024-02-23,32.4,25.9,0.0,3
2024-02-24,34.5,26.5,0.2,51
2024-02-25,30.4,25.7,0.5,51
2024-02-26,28.8,25.0,3.3,53
2024-02-27,29.7,24.4,0.1,51
2024-02-28,34.1,25.8,0.0,3
2024-02-29,30.7,25.8,0.7,51
2024-03-01,30.2,24.7,3.2,53
2024-03-02,28.0,23.1,0.5,51
2024-03-03,29.9,22.8,0.0,0
2024-03-04,32.4,22.3,0.0,0
2024-03-05,33.5,24.2,15.1,63
2024-03-06,27.7,24.3,27.1,63
2024-03-07,27.9,24.3,3.5,53
2024-03-08,27.6,24.7,0.7,51
2024-03-09,30.3,24.7,0.7,51
2024-03-10,30.7,25.0,4.4,61
2024-03-11,27.9,23.9,3.5,53
2024-03-12,26.9,22.5,0.7,51
2024-03-13,27.4,23.1,0.1,51
2024-03-14,29.7,22.3,0.0,3
2024-03-15,32.3,22.8,0.0,3
2024-03-16,34.8,24.0,0.0,3
2024-03-17,37.4,25.8,0.0,3
2024-03-18,30.7,25.9,0.5,53
2024-03-19,31.0,24.7,4.4,61
2024-03-20,32.5,25.2,0.8,51
2024-03-21,37.7,26.1,0.3,51
2024-03-22,29.8,24.1,136.9,65
2024-03-23,26.2,22.5,5.4,61
2024-03-24,24.9,22.9,20.9,63
2024-03-25,27.2,23.4,0.9,51
2024-03-26,26.2,23.2,1.8,51
2024-03-27,25.5,22.7,6.2,55
2024-03-28,24.9,22.7,10.0,61
2024-03-29,28.1,22.9,3.1,61
2024-03-30,27.6,23.6,1.3,51
2024-03-31,26.8,23.0,1.6,51
2024-04-01,27.3,21.7,0.0,3
2024-04-02,29.1,21.6,0.0,3
2024-04-03,27.7,22.3,0.0,3
2024-04-04,28.9,22.7,0.0,1
2024-04-05,27.8,22.2,0.0,1
2024-04-06,26.9,22.2,0.7,51
2024-04-07,26.4,22.0,1.6,51
2024-04-08,28.5,22.2,0.0,3
2024-04-09,29.4,23.7,0.0,3
2024-04-10,29.2,22.5,0.0,1
2024-04-11,28.4,23.0,1.2,53
2024-04-12,27.0,22.3,1.3,53
2024-04-13,28.8,22.6,0.0,2
2024-04-14,28.8,22.5,0.0,3
2024-04-15,29.5,22.9,0.0,3
2024-04-16,31.0,22.7,0.2,51
2024-04-17,31.0,22.7,0.0,3
2024-04-18,25.7,22.1,5.1,61
2024-04-19,24.9,20.5,0.3,51
2024-04-20,25.1,19.3,0.0,3
2024-04-21,25.9,20.3,0.0,3
2024-04-22,28.1,19.8,0.0,0
2024-04-23,31.4,20.6,0.0,3
2024-04-24,33.0,21.7,0.0,3
2024-04-25,26.0,23.2,0.8,51
2024-04-26,27.3,22.7,1.6,51
2024-04-27,29.5,21.5,0.0,0
2024-04-28,35.3,24.1,0.0,0
2024-04-29,28.5,22.9,0.0,3
2024-04-30,30.4,22.7,0.0,3
2024-05-01,32.9,23.5,0.0,1
2024-05-02,34.9,23.9,0.0,0
2024-05-03,31.1,23.4,0.0,0
2024-05-04,29.6,22.7,0.0,3
2024-05-05,29.9,22.1,0.0,3
2024-05-06,29.2,20.9,0.0,2
2024-05-07,31.1,22.0,0.0,2
2024-05-08,31.6,22.1,0.0,1
2024-05-09,33.6,23.3,0.0,3
2024-05-10,28.5,22.9,0.0,3
2024-05-11,33.1,21.6,0.0,3
2024-05-12,34.4,24.1,0.0,3
2024-05-13,35.7,24.4,0.0,3
2024-05-14,27.2,23.0,2.6,53
2024-05-15,24.2,22.0,2.9,53
